Head office country	Agriculture and Rural Development	Audiovisual and Media	Budget	Climate Action	Communication	Competition	Consumer Affairs	Culture	Customs	Development	Economic and Financial Affairs	Education	Employment and Social Affairs	Energy	Enlargement	Enterprise	Environment	External Relations	Financial Services and Capital Markets Union	Financial Stability	Fisheries and Aquaculture	Food Safety	Foreign and Security Policy and Defence	General and Institutional Affairs	Home Affairs	Humanitarian Aid	Information Society	Internal Market	Justice and Fundamental Rights	Public Health	Regional Policy	Research and Technology	Sport	Taxation	Trade	Trans-European Networks	Transport	Youth
Albania	1.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	2.0	1.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	2.0
Argentina	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0
Armenia	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Australia	5.0	0.0	2.0	6.0	1.0	6.0	2.0	1.0	0.0	3.0	5.0	2.0	2.0	6.0	1.0	6.0	6.0	5.0	1.0	1.0	1.0	1.0	1.0	3.0	0.0	0.0	2.0	6.0	0.0	2.0	1.0	4.0	0.0	3.0	8.0	4.0	4.0	0.0
Austria	49.0	52.0	18.0	69.0	49.0	79.0	58.0	47.0	22.0	46.0	68.0	67.0	58.0	76.0	35.0	76.0	93.0	38.0	17.0	17.0	20.0	34.0	25.0	52.0	29.0	23.0	75.0	82.0	66.0	49.0	61.0	90.0	12.0	52.0	47.0	60.0	49.0	32.0
Azerbaijan	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Bahamas	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Belarus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
Belgium	475.0	396.0	323.0	708.0	382.0	802.0	775.0	444.0	392.0	508.0	731.0	662.0	769.0	813.0	377.0	953.0	1068.0	551.0	128.0	128.0	208.0	514.0	342.0	595.0	388.0	285.0	706.0	1027.0	616.0	730.0	512.0	983.0	191.0	548.0	761.0	526.0	584.0	437.0
Belize	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Benin	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
Bermuda	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Bosnia-herzegovina	1.0	1.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	2.0	1.0	2.0	1.0	2.0	2.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	3.0	1.0	0.0	3.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	2.0
Brazil	7.0	4.0	3.0	5.0	4.0	4.0	4.0	5.0	5.0	6.0	5.0	5.0	5.0	6.0	4.0	4.0	8.0	5.0	4.0	4.0	4.0	6.0	3.0	3.0	3.0	6.0	4.0	4.0	3.0	8.0	3.0	5.0	3.0	4.0	6.0	3.0	5.0	5.0
Bulgaria	22.0	11.0	11.0	19.0	21.0	19.0	15.0	16.0	6.0	23.0	17.0	22.0	21.0	19.0	11.0	18.0	31.0	9.0	2.0	2.0	14.0	16.0	9.0	11.0	8.0	6.0	25.0	15.0	17.0	14.0	28.0	26.0	5.0	8.0	15.0	26.0	17.0	18.0
Cambodia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
Canada	2.0	2.0	3.0	8.0	4.0	5.0	7.0	4.0	5.0	4.0	9.0	6.0	7.0	11.0	3.0	7.0	12.0	8.0	2.0	2.0	3.0	4.0	6.0	5.0	3.0	5.0	5.0	8.0	6.0	6.0	3.0	10.0	5.0	5.0	10.0	6.0	8.0	4.0
Chile	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
China	2.0	3.0	1.0	2.0	3.0	4.0	4.0	2.0	4.0	4.0	3.0	2.0	3.0	3.0	1.0	5.0	3.0	3.0	0.0	0.0	1.0	2.0	2.0	2.0	1.0	1.0	4.0	4.0	2.0	3.0	2.0	5.0	0.0	2.0	4.0	3.0	3.0	0.0
Congo	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0
Cote D'ivoire	2.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
Croatia	17.0	11.0	11.0	15.0	13.0	18.0	12.0	15.0	7.0	20.0	21.0	22.0	19.0	18.0	8.0	20.0	26.0	11.0	8.0	8.0	11.0	11.0	4.0	6.0	3.0	9.0	15.0	16.0	13.0	8.0	25.0	19.0	3.0	11.0	14.0	13.0	12.0	16.0
Cyprus	5.0	4.0	4.0	9.0	4.0	4.0	5.0	6.0	3.0	9.0	5.0	8.0	6.0	10.0	5.0	4.0	11.0	4.0	1.0	1.0	4.0	5.0	3.0	3.0	3.0	6.0	9.0	4.0	7.0	4.0	5.0	7.0	3.0	4.0	6.0	4.0	6.0	7.0
Czech Republic	8.0	20.0	10.0	20.0	16.0	23.0	22.0	17.0	7.0	18.0	21.0	28.0	13.0	22.0	9.0	23.0	32.0	11.0	5.0	5.0	4.0	8.0	12.0	14.0	10.0	4.0	28.0	20.0	15.0	9.0	19.0	32.0	4.0	16.0	12.0	21.0	15.0	17.0
Denmark	37.0	24.0	22.0	56.0	19.0	66.0	49.0	29.0	21.0	30.0	46.0	43.0	51.0	71.0	18.0	58.0	77.0	29.0	15.0	15.0	21.0	31.0	20.0	37.0	27.0	20.0	50.0	77.0	38.0	34.0	30.0	57.0	10.0	45.0	55.0	35.0	56.0	24.0
Dominican Republic	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Dominique	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Egypt	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0
Estonia	3.0	4.0	0.0	4.0	0.0	6.0	5.0	3.0	1.0	4.0	5.0	5.0	3.0	4.0	0.0	8.0	6.0	2.0	1.0	1.0	3.0	2.0	1.0	0.0	0.0	1.0	7.0	6.0	8.0	5.0	5.0	6.0	1.0	7.0	6.0	3.0	2.0	2.0
Finland	29.0	42.0	25.0	73.0	39.0	86.0	56.0	46.0	24.0	32.0	50.0	65.0	49.0	80.0	10.0	72.0	96.0	29.0	14.0	14.0	15.0	25.0	20.0	33.0	21.0	11.0	94.0	90.0	47.0	33.0	44.0	95.0	9.0	59.0	64.0	55.0	61.0	30.0
France	239.0	185.0	136.0	303.0	160.0	403.0	348.0	227.0	170.0	204.0	366.0	243.0	300.0	313.0	112.0	403.0	495.0	201.0	55.0	55.0	106.0	216.0	136.0	289.0	148.0	117.0	312.0	413.0	271.0	281.0	247.0	386.0	82.0	306.0	305.0	216.0	261.0	162.0
Georgia	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
Germany	270.0	196.0	136.0	438.0	250.0	552.0	506.0	218.0	190.0	247.0	511.0	366.0	372.0	463.0	141.0	543.0	599.0	210.0	77.0	77.0	98.0	230.0	139.0	332.0	200.0	108.0	420.0	526.0	348.0	313.0	274.0	548.0	77.0	338.0	404.0	320.0	326.0	183.0
Ghana	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0
Gibraltar	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Greece	32.0	27.0	15.0	33.0	30.0	36.0	31.0	43.0	15.0	43.0	35.0	49.0	38.0	39.0	21.0	39.0	56.0	27.0	14.0	14.0	23.0	24.0	21.0	26.0	17.0	23.0	37.0	41.0	32.0	29.0	39.0	45.0	14.0	25.0	28.0	41.0	30.0	37.0
Hong Kong	1.0	2.0	1.0	1.0	1.0	3.0	3.0	3.0	3.0	1.0	3.0	1.0	2.0	3.0	1.0	3.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	3.0	2.0	1.0	4.0	3.0	3.0	2.0	2.0	3.0	2.0	3.0	3.0	2.0	2.0	1.0
Hungary	26.0	16.0	15.0	28.0	19.0	28.0	18.0	23.0	10.0	21.0	22.0	34.0	24.0	27.0	15.0	15.0	39.0	15.0	4.0	4.0	4.0	14.0	13.0	14.0	11.0	10.0	30.0	23.0	28.0	13.0	26.0	30.0	6.0	19.0	22.0	24.0	19.0	20.0
Iceland	0.0	0.0	0.0	3.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	2.0	0.0	2.0	2.0	2.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	2.0	1.0	1.0	0.0	1.0	2.0	1.0	1.0
India	3.0	0.0	0.0	2.0	2.0	3.0	0.0	0.0	1.0	4.0	2.0	2.0	2.0	3.0	0.0	2.0	3.0	2.0	0.0	0.0	2.0	2.0	1.0	1.0	1.0	0.0	3.0	1.0	3.0	2.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	3.0
Indonesia	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0
Iraq	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	2.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Ireland	31.0	27.0	22.0	42.0	26.0	48.0	46.0	17.0	18.0	25.0	46.0	36.0	42.0	44.0	15.0	51.0	53.0	23.0	16.0	16.0	18.0	28.0	18.0	29.0	18.0	13.0	39.0	52.0	27.0	40.0	35.0	43.0	16.0	40.0	44.0	30.0	29.0	23.0
Isle Of Man	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Israel	1.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	1.0	1.0	3.0	2.0	0.0	3.0	1.0	0.0	2.0	3.0	2.0	3.0	1.0	0.0	1.0	0.0	0.0	4.0
Italy	259.0	173.0	108.0	222.0	218.0	259.0	251.0	276.0	122.0	259.0	235.0	283.0	252.0	280.0	119.0	343.0	394.0	196.0	61.0	61.0	138.0	217.0	139.0	204.0	119.0	131.0	248.0	263.0	223.0	229.0	247.0	362.0	123.0	175.0	229.0	220.0	209.0	212.0
